id,project_id,tag
1,17,JavaScript
2,17,HTML
3,17,n8n
4,17,AI
5,17,Python
6,17,Git
7,18,JavaScript
8,18,HTML
9,18,CSS
10,18,Git
11,19,Python
12,19,PyPI
13,19,n8n
14,19,Git
15,20,Python
16,20,AI
17,20,SQLite
18,20,Git
19,21,Python
20,21,AI
21,21,RAG
22,21,LLM
23,21,Git
24,1,Python
25,1,Pandas
26,1,PyPI
27,1,Git
28,5,Python
29,5,FastAPI
30,5,Git
31,7,Python
32,7,OpenCV
33,7,Git
34,12,R
35,12,Shiny
36,12,Git
37,13,Kotlin
38,13,Go
39,13,Spring
40,13,Google Cloud
41,13,Git
42,2,Python
43,2,Django
44,2,SQLite
45,2,Git
46,2,HTML
47,2,CSS
48,3,Python
49,3,Kaggle API
50,3,Git
51,4,Python
52,4,PyPI
53,4,Git
54,6,Python
55,6,Django
56,6,SQLite
57,6,Git
58,6,HTML
59,6,CSS
60,8,Python
61,8,Pygame
62,8,Git
63,9,Python
64,9,Scikit-learn
65,9,Pandas
66,9,NumPy
67,9,Git
68,10,Python
69,10,NLP
70,10,Git
71,11,Python
72,11,Git
73,14,Python
74,14,Django
75,14,SQLite
76,14,Git
77,14,HTML
78,14,CSS
79,15,Python
80,15,Flask
81,15,MySQL
82,15,Git
83,16,Python
84,16,Pandas
85,16,NumPy
86,16,Matplotlib
87,16,Seaborn
88,16,Git
